DateTime,Pressure_kPa,pressureBaro,pressureGauge,waterHeight,waterHeight2,waterDepth,waterDepth_m
2019-07-23T14:34:58Z,93.391,93.978765,-0.5877649999999903,-0.05991488277267995,0.006485728848114353,-0.5995142711518856,NA
2019-07-23T14:44:58Z,93.391,94.00039,-0.6093899999999906,-0.062119266055044906,0.004281345565749398,-0.6017186544342505,NA
2019-07-23T14:54:58Z,93.402,94.015185,-0.6131850000000014,-0.06250611620795121,0.003894495412843091,-0.6021055045871568,NA
2019-07-23T15:04:58Z,93.381,94.011155,-0.630155000000002,-0.06423598369011234,0.0021646279306819644,-0.603835372069318,NA
2019-07-23T15:14:58Z,93.402,93.99246500000001,-0.5904650000000089,-0.060190112130480006,0.006210499490314297,-0.5997895005096857,NA
2019-07-23T15:24:58Z,93.402,94.00904,-0.6070399999999978,-0.06187971457696206,0.004520897043832246,-0.6014791029561677,NA
2019-07-23T15:34:58Z,93.422,94.030535,-0.6085350000000034,-0.06203211009174346,0.004368501529050842,-0.6016314984709491,NA
2019-07-23T15:44:58Z,93.422,94.036505,-0.6145050000000083,-0.06264067278287545,0.0037599388379188498,-0.6022400611620812,NA
2019-07-23T15:54:58Z,93.412,94.02280499999999,-0.6108049999999849,-0.06226350662589041,0.004137104994903891,-0.601862895005096,NA
2019-07-23T16:04:58Z,93.402,94.017495,-0.6154949999999957,-0.06274159021406683,0.0036590214067274696,-0.6023409785932725,NA
2019-07-23T16:14:58Z,93.412,94.02535,-0.613349999999997,-0.0625229357798162,0.0038776758409781037,-0.6021223241590219,NA
2019-07-23T16:24:58Z,93.422,94.00696,-0.5849600000000095,-0.05962895005096936,0.0067716615698249424,-0.5992283384301751,NA
2019-07-23T16:34:58Z,93.433,94.017195,-0.584194999999994,-0.05955096839959164,0.006849643221202663,-0.5991503567787974,NA
2019-07-23T16:44:58Z,93.422,94.02,-0.597999999999999,-0.060958205912334244,0.005442405708460059,-0.6005575942915399,NA
2019-07-23T16:54:58Z,93.402,94.009145,-0.6071450000000027,-0.06189041794087693,0.004510193679917375,-0.6014898063200826,NA
2019-07-23T17:04:58Z,93.412,94.0237,-0.611699999999999,-0.06235474006116198,0.004045871559632326,-0.6019541284403677,NA
2019-07-23T17:14:58Z,93.391,94.001115,-0.6101149999999933,-0.062193170234453955,0.004207441386340348,-0.6017925586136597,NA
2019-07-23T17:24:58Z,93.391,94.01603999999999,-0.6250399999999843,-0.06371457696228178,0.002686034658512526,-0.6033139653414874,NA
2019-07-23T17:34:58Z,93.402,94.03419500000001,-0.63219500000001,-0.06444393476044954,0.001956676860344758,-0.6040433231396553,NA
2019-07-23T17:44:58Z,93.422,94.02865,-0.6066500000000019,-0.061839959225280516,0.004560652395513787,-0.6014393476044861,NA
2019-07-23T17:54:58Z,93.402,94.03869,-0.6366900000000015,-0.06490214067278302,0.0014984709480112823,-0.6045015290519887,NA
2019-07-23T18:04:58Z,93.412,94.03766,-0.6256599999999963,-0.0637777777777774,0.0026228338430168974,-0.6033771661569831,NA
2019-07-23T18:14:58Z,93.391,94.02029999999999,-0.6292999999999864,-0.064148827726808,0.002251783893986309,-0.6037482161060137,NA
2019-07-23T18:24:58Z,93.422,94.042885,-0.6208850000000012,-0.06329102956167189,0.003109582059122415,-0.6028904179408776,NA
2019-07-23T18:34:58Z,93.412,94.042155,-0.6301549999999878,-0.06423598369011088,0.0021646279306834215,-0.6038353720693166,NA
2019-07-23T18:44:58Z,93.422,94.035155,-0.6131550000000061,-0.06250305810397616,0.003897553516818142,-0.6021024464831819,NA
2019-07-23T18:54:58Z,93.415,94.056545,-0.6415449999999936,-0.06539704383282299,0.00100356778797131,-0.6049964322120287,NA
