"Plot Title: 86.3.s2"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10766687, SEN S/N: 10766687, LBL: pressure)","Temp, °C (LGR S/N: 10766687, SEN S/N: 10766687, LBL: temperature)","Coupler Detached (LGR S/N: 10766687, SEN S/N: 10766687)","Coupler Attached (LGR S/N: 10766687, SEN S/N: 10766687)","Host Connected (LGR S/N: 10766687, SEN S/N: 10766687)","End Of File (LGR S/N: 10766687, SEN S/N: 10766687)"
373,01/30/20 11:33:43 PM,95.590,3.472,,,,
374,01/30/20 11:43:43 PM,95.590,3.472,,,,
375,01/30/20 11:53:43 PM,95.590,3.472,,,,
376,01/31/20 12:03:43 AM,95.569,3.472,,,,
377,01/31/20 12:13:43 AM,95.569,3.472,,,,
378,01/31/20 12:23:43 AM,95.569,3.472,,,,
379,01/31/20 12:33:43 AM,95.547,3.472,,,,
380,01/31/20 12:43:43 AM,95.547,3.472,,,,
381,01/31/20 12:53:43 AM,95.547,3.472,,,,
382,01/31/20 01:03:43 AM,95.569,3.472,,,,
383,01/31/20 01:13:43 AM,95.569,3.472,,,,
384,01/31/20 01:23:43 AM,95.558,3.472,,,,
385,01/31/20 01:33:43 AM,95.558,3.472,,,,
386,01/31/20 01:43:43 AM,95.547,3.472,,,,
387,01/31/20 01:53:43 AM,95.536,3.472,,,,
388,01/31/20 02:03:43 AM,95.547,3.472,,,,
389,01/31/20 02:13:43 AM,95.536,3.472,,,,
390,01/31/20 02:23:43 AM,95.525,3.472,,,,
391,01/31/20 02:33:43 AM,95.504,3.472,,,,
392,01/31/20 02:43:43 AM,95.515,3.472,,,,
393,01/31/20 02:53:43 AM,95.515,3.472,,,,
394,01/31/20 03:03:43 AM,95.515,3.472,,,,
395,01/31/20 03:13:43 AM,95.504,3.472,,,,
396,01/31/20 03:23:43 AM,95.515,3.472,,,,
397,01/31/20 03:33:43 AM,95.504,3.472,,,,
398,01/31/20 03:43:43 AM,95.493,3.472,,,,
399,01/31/20 03:53:43 AM,95.504,3.472,,,,
400,01/31/20 04:03:43 AM,95.504,3.472,,,,
401,01/31/20 04:13:43 AM,95.504,3.472,,,,
402,01/31/20 04:23:43 AM,95.493,3.472,,,,
403,01/31/20 04:33:43 AM,95.504,3.472,,,,
404,01/31/20 04:43:43 AM,95.482,3.472,,,,
405,01/31/20 04:53:43 AM,95.482,3.472,,,,
406,01/31/20 05:03:43 AM,95.482,3.472,,,,
407,01/31/20 05:13:43 AM,95.471,3.472,,,,
408,01/31/20 05:23:43 AM,95.471,3.472,,,,
409,01/31/20 05:33:43 AM,95.471,3.472,,,,
410,01/31/20 05:43:43 AM,95.482,3.472,,,,
411,01/31/20 05:53:43 AM,95.482,3.472,,,,
412,01/31/20 06:03:43 AM,95.482,3.472,,,,
413,01/31/20 06:13:43 AM,95.493,3.472,,,,
414,01/31/20 06:23:43 AM,95.493,3.472,,,,
415,01/31/20 06:33:43 AM,95.504,3.472,,,,
416,01/31/20 06:43:43 AM,95.515,3.472,,,,
417,01/31/20 06:53:43 AM,95.493,3.472,,,,
418,01/31/20 07:03:43 AM,95.493,3.472,,,,
419,01/31/20 07:13:43 AM,95.493,3.472,,,,
420,01/31/20 07:23:43 AM,95.482,3.472,,,,
421,01/31/20 07:33:43 AM,95.504,3.472,,,,
422,01/31/20 07:43:43 AM,95.493,3.472,,,,
423,01/31/20 07:53:43 AM,95.515,3.472,,,,
424,01/31/20 08:03:43 AM,95.504,3.472,,,,
425,01/31/20 08:13:43 AM,95.515,3.472,,,,
426,01/31/20 08:23:43 AM,95.493,3.472,,,,
427,01/31/20 08:33:43 AM,95.515,3.472,,,,
428,01/31/20 08:43:43 AM,95.493,3.472,,,,
429,01/31/20 08:53:43 AM,95.493,3.472,,,,
